Country:e,Name:s,AccentCity:s,Region:e,Population:n,Latitude,Longitude,Test3:n,Prefecture:e,Record:n
jp,a,A,47,,26.606111,127.923889,26.606111,okinawa,1
jp,abamachi,Abamachi,27,,32.75,129.95,32.75,nagasaki,2
jp,abana,Abana,27,,32.75,129.95,32.75,nagasaki,3
jp,abashiri,Abashiri,12,42498,44.019722,144.258611,44.019722,hokkaido,4
jp,abasiri,Abasiri,12,,44.019722,144.258611,44.019722,hokkaido,5
jp,abatu,Abatu,12,,42.553889,140.757222,42.553889,hokkaido,6
jp,abe,Abe,39,,33.783333,134.633333,33.783333,tokushima,7
jp,abe,Abe,47,,26.537778,128.088333,26.537778,okinawa,8
jp,abeta,Abeta,23,,34.6,136.066667,34.6,mie,9
jp,abi,Abi,39,,33.783333,134.633333,33.783333,tokushima,10
jp,abika,Abika,19,,35.568611,139.218611,35.568611,kanagawa,11
jp,abiko,Abiko,4,131774,35.866667,140.016667,35.866667,chiba,12
jp,abira,Abira,12,,42.816667,141.833333,42.816667,hokkaido,13
jp,abo,Abo,23,,34.666667,136.166667,34.666667,mie,14
jp,aboshi,Aboshi,13,,34.783333,134.583333,34.783333,hyogo,15
jp,abu,Abu,39,,33.783333,134.633333,33.783333,tokushima,16
jp,abu,Abu,45,,34.5,131.466667,34.5,yamaguchi,17
jp,abu,Abu,47,,26.537778,128.088333,26.537778,okinawa,18
jp,abukanai,Abukanai,12,,44.2,143.183333,44.2,hokkaido,19
jp,aburakawa,Aburakawa,3,,40.85,140.7,40.85,aomori,20
jp,aburatsu,Aburatsu,12,,44.019722,144.258611,44.019722,hokkaido,21
jp,aburatsu,Aburatsu,25,,31.533333,131.35,31.533333,miyazaki,22
jp,abuta,Abuta,12,,42.553889,140.757222,42.553889,hokkaido,23
jp,abuura,Abuura,39,,33.783333,134.633333,33.783333,tokushima,24
jp,achigaya,Achigaya,37,,34.833333,138.2,34.833333,shizuoka,25
jp,achisu,Achisu,45,,34.003333,131.354444,34.003333,yamaguchi,26
jp,ada,Ada,47,,26.745125,128.315458,26.745125,okinawa,27
jp,adakai,Adakai,36,,35.433333,133.133333,35.433333,shimane,28
jp,adakaya,Adakaya,36,,35.433333,133.133333,35.433333,shimane,29
jp,adami,Adami,8,,37.483333,140.266667,37.483333,fukushima,30
jp,adaniya,Adaniya,47,,26.290556,127.786111,26.290556,okinawa,31
jp,adanniya,Adanniya,47,,26.290556,127.786111,26.290556,okinawa,32
jp,adashika,Adashika,23,,33.933333,136.15,33.933333,mie,33
jp,adasika,Adasika,23,,33.933333,136.15,33.933333,mie,34
jp,adawa,Adawa,23,,33.8,136.033333,33.8,mie,35
jp,adigasawa,Adigasawa,3,,40.774444,140.203056,40.774444,aomori,36
jp,adino,Adino,31,,34.466667,133.8,34.466667,okayama,37
jp,aeba,Aeba,35,,35.366667,136.033333,35.366667,shiga,38
jp,aenae,Aenae,12,,42.054722,139.442222,42.054722,hokkaido,39
jp,afuso,Afuso,47,,26.492778,127.885556,26.492778,okinawa,40
jp,afusu,Afusu,47,,26.492778,127.885556,26.492778,okinawa,41
jp,afutoromanai,Afutoromanai,12,,45.2,141.316667,45.2,hokkaido,42
jp,afuwa,Afuwa,47,,26.715883,128.284681,26.715883,okinawa,43
jp,afuwacha,Afuwacha,47,,26.242778,127.721944,26.242778,okinawa,44
jp,afuwari,Afuwari,47,,26.170556,127.340278,26.170556,okinawa,45
jp,aga,Aga,11,,34.233333,132.6,34.233333,hiroshima,46
jp,aga,Aga,41,,35.35,133.333333,35.35,tottori,47
jp,agacho,Agacho,11,,34.233333,132.6,34.233333,hiroshima,48
jp,agamachi,Agamachi,11,,34.233333,132.6,34.233333,hiroshima,49
jp,agami,Agami,27,,34.15,129.266667,34.15,nagasaki,50
jp,agano,Agano,29,,37.773916,139.221922,37.773916,niigata,51
jp,aganuma,Aganuma,8,,37.366667,140.433333,37.366667,fukushima,52
jp,agare,Agare,18,,28.316667,129.933333,28.316667,kagoshima,53
jp,agarie,Agarie,47,,26.583611,127.985278,26.583611,okinawa,54
jp,agari-e-kami,Agari-e-kami,47,,26.7075,127.803889,26.7075,okinawa,55
jp,agariemae,Agariemae,47,,26.7075,127.803889,26.7075,okinawa,56
jp,agarieue,Agarieue,47,,26.717222,127.806111,26.717222,okinawa,57
jp,agarii,Agarii,47,,26.583611,127.985278,26.583611,okinawa,58
jp,agari-ie,Agari-Ie,47,,26.717222,127.806111,26.717222,okinawa,59
jp,agarii-mae,Agarii-mae,47,,26.7075,127.803889,26.7075,okinawa,60
jp,agarii-mee,Agarii-mee,47,,26.7075,127.803889,26.7075,okinawa,61
jp,agarisuji,Agarisuji,47,,24.237424,124.015556,24.237424,okinawa,62
jp,agariuebaru,Agariuebaru,47,,26.685881,127.930658,26.685881,okinawa,63
jp,agariuibaru,Agariuibaru,47,,26.685881,127.930658,26.685881,okinawa,64
jp,agawa,Agawa,45,,34.333333,130.933333,34.333333,yamaguchi,65
jp,age,Age,2,,39.333333,140.45,39.333333,akita,66
jp,ageda,Ageda,47,,26.334444,127.806111,26.334444,okinawa,67
jp,agei,Agei,41,,35.45,133.85,35.45,tottori,68
jp,ageki,Ageki,23,,35.15,136.516667,35.15,mie,69
jp,agematsu,Agematsu,26,,35.783333,137.7,35.783333,nagano,70
jp,agena,Agena,47,,26.370556,127.851111,26.370556,okinawa,71
jp,ageno,Ageno,6,,35.71,136.093333,35.71,fukui,72
jp,agenosho,Agenosho,45,,33.883333,132.266667,33.883333,yamaguchi,73
jp,agenoshomachi,Agenoshomachi,45,,33.883333,132.266667,33.883333,yamaguchi,74
jp,agenoura,Agenoura,45,,33.9,132.283333,33.9,yamaguchi,75
jp,ageo,Ageo,34,219405,35.969722,139.588611,35.969722,saitama,76
jp,ageomura,Ageomura,34,,35.969722,139.588611,35.969722,saitama,77
jp,agida,Agida,47,,26.334444,127.806111,26.334444,okinawa,78
jp,aginaa,Aginaa,47,,26.370556,127.851111,26.370556,okinawa,79
jp,agina,Agina,47,,26.370556,127.851111,26.370556,okinawa,80
jp,ago,Ago,43,,33.6,135.483333,33.6,wakayama,81
jp,aguchi,Aguchi,31,,35.016667,133.633333,35.016667,okayama,82
jp,aguni,Aguni,47,,26.576389,127.221389,26.576389,okinawa,83
jp,agura,Agura,20,,33.516667,134.166667,33.516667,kochi,84
jp,aha,Aha,47,,26.715883,128.284681,26.715883,okinawa,85
jp,ahacha,Ahacha,47,,26.242778,127.721944,26.242778,okinawa,86
jp,ahare,Ahare,47,,26.170556,127.340278,26.170556,okinawa,87
jp,aharen,Aharen,47,,26.170556,127.340278,26.170556,okinawa,88
jp,aho,Aho,23,,34.666667,136.166667,34.666667,mie,89
jp,ahuso,Ahuso,47,,26.492778,127.885556,26.492778,okinawa,90
jp,ai,Ai,36,,35.133333,132.95,35.133333,shimane,91
jp,aiba,Aiba,35,,35.366667,136.033333,35.366667,shiga,92
jp,aibetsu,Aibetsu,12,,43.9,142.583333,43.9,hokkaido,93
jp,aiboshima,Aiboshima,12,,42.483333,143.433333,42.483333,hokkaido,94
jp,aida,Aida,5,,34.165278,133.036389,34.165278,ehime,95
jp,aida,Aida,26,,36.35,138,36.35,nagano,96
jp,aidamari,Aidamari,12,,42.116667,140.016667,42.116667,hokkaido,97
jp,aidomari,Aidomari,3,,41.5,139.366667,41.5,aomori,98
jp,aidomari,Aidomari,12,,44.183333,145.333333,44.183333,hokkaido,99
jp,aiga,Aiga,23,,34.1,136.216667,34.1,mie,100
jp,aigadani,Aigadani,23,,33.933333,136.1,33.933333,mie,101
jp,aigatani,Aigatani,23,,33.933333,136.1,33.933333,mie,102
jp,aihama,Aihama,4,,34.916667,139.816667,34.916667,chiba,103
jp,aihara,Aihara,19,,35.6,139.316667,35.6,kanagawa,104
jp,aika,Aika,36,,35.466667,132.95,35.466667,shimane,105
